"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"114.low","114","low",2,"new_med","dot_cond1_sub114.txt",6,1,"114_low_2_287"
"114.low","114","low",2,"new_high","dot_cond1_sub114.txt",9,0.777777777777778,"114_low_2_287"
"114.low","114","low",3,"prototype","dot_cond1_sub114.txt",1,1,"114_low_3_298"
"114.low","114","low",3,"old","dot_cond1_sub114.txt",99,0.95959595959596,"114_low_3_298"
"114.low","114","low",3,"new_low","dot_cond1_sub114.txt",3,1,"114_low_3_298"
"114.low","114","low",3,"new_med","dot_cond1_sub114.txt",6,1,"114_low_3_298"
"114.low","114","low",3,"new_high","dot_cond1_sub114.txt",9,0.888888888888889,"114_low_3_298"
"115.medium","115","medium",1,"prototype","dot_cond2_sub115.txt",1,1,"115_medium_1_343"
"115.medium","115","medium",1,"old","dot_cond2_sub115.txt",99,0.383838383838384,"115_medium_1_343"
"115.medium","115","medium",1,"new_low","dot_cond2_sub115.txt",3,0.666666666666667,"115_medium_1_343"
"115.medium","115","medium",1,"new_med","dot_cond2_sub115.txt",6,0.833333333333333,"115_medium_1_343"
"115.medium","115","medium",1,"new_high","dot_cond2_sub115.txt",9,0.666666666666667,"115_medium_1_343"
"115.medium","115","medium",2,"prototype","dot_cond2_sub115.txt",1,1,"115_medium_2_315"
"115.medium","115","medium",2,"old","dot_cond2_sub115.txt",99,0.464646464646465,"115_medium_2_315"
"115.medium","115","medium",2,"new_low","dot_cond2_sub115.txt",3,0.666666666666667,"115_medium_2_315"
"115.medium","115","medium",2,"new_med","dot_cond2_sub115.txt",6,0.333333333333333,"115_medium_2_315"
"115.medium","115","medium",2,"new_high","dot_cond2_sub115.txt",9,0.555555555555556,"115_medium_2_315"
"115.medium","115","medium",3,"prototype","dot_cond2_sub115.txt",1,0,"115_medium_3_336"
"115.medium","115","medium",3,"old","dot_cond2_sub115.txt",99,0.434343434343434,"115_medium_3_336"
"115.medium","115","medium",3,"new_low","dot_cond2_sub115.txt",3,0.333333333333333,"115_medium_3_336"
"115.medium","115","medium",3,"new_med","dot_cond2_sub115.txt",6,0.333333333333333,"115_medium_3_336"
"115.medium","115","medium",3,"new_high","dot_cond2_sub115.txt",9,0.777777777777778,"115_medium_3_336"
"116.high","116","high",1,"prototype","dot_cond3_sub116.txt",1,1,"116_high_1_275"
"116.high","116","high",1,"old","dot_cond3_sub116.txt",99,0.666666666666667,"116_high_1_275"
"116.high","116","high",1,"new_low","dot_cond3_sub116.txt",3,1,"116_high_1_275"
"116.high","116","high",1,"new_med","dot_cond3_sub116.txt",6,1,"116_high_1_275"
"116.high","116","high",1,"new_high","dot_cond3_sub116.txt",9,0.888888888888889,"116_high_1_275"
"116.high","116","high",2,"prototype","dot_cond3_sub116.txt",1,1,"116_high_2_322"
"116.high","116","high",2,"old","dot_cond3_sub116.txt",99,0.525252525252525,"116_high_2_322"
"116.high","116","high",2,"new_low","dot_cond3_sub116.txt",3,1,"116_high_2_322"
